UFMG-CM-Y263,UFMG-CM-Y641,UFMG-CM-Y642
YNR070W,YFR027W,YLR081W
YFR027W,YKL060C,YFR027W
YLR077W,YDR321W,YKL060C
YFR052W,YLR081W,YDR321W
YGR285C,YBR017C,YBR017C
YBR021W,YJL212C,YJL212C
YBR017C,YBR021W,YBR021W
YOL146W,YIL163C,YIL163C
YOL119C,YGL254W,YGL254W
YKL060C,YLR460C,YLR080W
YIL166C,YLR080W,YHR207C
YKL125W,YIL166C,YIL166C
YLR079W,YIL161W,YKL125W
YIR019C,YHR207C,YBR022W
YNR071C,YGL257C,YLR079W
YBR022W,YBR022W,YDR320C-A
YGR287C,YKL125W,YHR210C
YER185W,YLR079W,YKL122C
YKL122C,YDR320C-A,YFR055W
YFR055W,YHR210C,YFR053C
YGR286C,YKL122C,YKL124W
YKL124W,YFR055W,YLR083C
YFR053C,YFR053C,YJL213W
YLR083C,YKL124W,YLR084C
YOL148C,YLR083C,YGL257C
YLR084C,YAR042W,YAR042W
YOL152W,YJL213W,YKL126W
YLR078C,YLR084C,YLR078C
YKL126W,YKL126W,YIL160C
YIR012W,YLR078C,YIL164C
YOL147C,YIL160C,YGL255W
YAR042W,YIL164C,YOL122C
YFR054C,YGL255W,YIL161W
YFR056C,YOL122C,YNR066C
YFR052C-A,YNR066C,YHR208W
YOL151W,YHR208W,YHR209W
YOL150C,YHR209W,YGL256W
YOL149W,YGL256W,YIR017C
YOL122C,YIR017C,YDR320W-B
YAR035C-A,YDR320W-B,YAR035C-A
YOL129W,YAR035C-A,YLR077W
YIR013C,YLR077W,YFR026C
YIR014W,YFR026C,YFR054C
YIR018W,YFR054C,YFR056C
YIR018C-A,YFR056C,YIL165C
YIR017C,YIL165C,YOL119C
YIR017W-A,YOL119C,YOL118C
YIL165C,YOL118C,YIR017W-A
YIL164C,YIR017W-A,YIR018C-A
YFR026C,YIR018C-A,YIR018W
YER177W,YIR018W,YBL039W-B
YER178W,YBL039W-B,YKL123W
YER179W,YKL123W,YOL120C
YER180C,YOL120C,YOL121C
YER180C-A,YOL121C,YMR105W-A
YER181C,YMR105W-A,
YER182W,,
YER183C,,
YER184C,,
YKL123W,,
YOL121C,,
YOL120C,,
YLR257W,,
YLR258W,,
YNR058W,,
YNR059W,,